Company,Ticker
Anant Raj Ltd.,ANANTRAJ.NS
Chennai Petroleum Corporation Ltd.,CHENNPETRO.NS
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS
EPL Ltd.,EPL.NS
IDFC First Bank Ltd.,IDFCFIRSTB.NS
ITC Ltd.,ITC.NS
Karnataka Bank Ltd.,KTKBANK.NS
Manappuram Finance Ltd.,MANAPPURAM.NS
Natco Pharma Ltd.,NATCOPHARM.NS
National Aluminium Company Ltd.,NATIONALUM.NS
NCC Ltd.,NCC.NS
Oil India Ltd.,OIL.NS
PCBL Chemical Ltd.,PCBL.NS
Power Finance Corporation Ltd.,PFC.NS
PowerGrid Infrastructure Investment Trust,PGINVIT.NS
REC Ltd.,RECLTD.NS
South Indian Bank Ltd.,SOUTHBANK.NS
State Bank of India,SBIN.NS
Tamilnadu Petroproducts Ltd.,TNPETRO.NS
Tata Motors Ltd.,TATAMOTORS.NS
Tata Power Company Ltd.,TATAPOWER.NS
Tata Steel Ltd.,TATASTEEL.NS
Thangamayil Jewellery Ltd.,THANGAMAYL.NS
Trident Ltd.,TRIDENT.NS